x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-12--07:29:48,20.2,19.9,17.6,11.7,7.8,19.6,19.0,17.2,11.7,5.5,19.0,18.4,17.1,6.1,-0.5,23.3,27.4,23.7,22.8,24.3
2019-01-12--07:33:24,20.3,19.9,17.6,11.8,7.9,19.6,19.0,17.3,11.7,5.5,19.0,18.4,17.2,6.2,-0.4,23.3,27.6,23.7,22.8,24.3
2019-01-12--07:37:00,20.3,19.9,17.6,11.8,7.9,19.6,19.0,17.3,11.7,5.5,19.0,18.4,17.2,6.2,-0.4,23.3,27.6,23.7,22.8,24.3
2019-01-12--07:40:36,20.3,19.9,17.6,11.8,7.9,19.6,19.0,17.3,11.7,5.5,19.0,18.4,17.2,6.2,-0.4,23.3,27.6,23.7,22.8,24.3
2019-01-12--07:44:12,20.3,19.9,17.6,11.8,7.9,19.6,19.0,17.3,11.7,5.5,19.0,18.4,17.2,6.2,-0.4,23.3,27.6,23.7,22.8,24.3
2019-01-12--07:47:48,20.3,19.9,17.6,11.8,7.9,19.6,19.0,17.3,11.7,5.6,19.0,18.4,17.2,6.2,-0.4,23.4,27.6,23.8,22.9,24.3
2019-01-12--07:51:24,20.3,19.9,17.6,11.8,7.9,19.6,19.0,17.3,11.7,5.6,19.0,18.4,17.2,6.2,-0.4,23.4,27.6,23.8,22.9,24.3
2019-01-12--07:55:00,20.3,19.9,17.6,11.8,7.9,19.6,19.0,17.3,11.7,5.6,19.0,18.4,17.2,6.2,-0.4,23.4,27.6,23.8,22.9,24.3
2019-01-12--07:58:36,20.3,19.9,17.6,11.8,7.9,19.6,19.0,17.3,11.7,5.6,19.0,18.4,17.2,6.2,-0.4,23.4,27.6,23.8,22.9,24.3
2019-01-12--08:02:12,20.3,19.9,17.7,11.8,8.0,19.6,19.0,17.3,11.8,5.6,19.0,18.5,17.2,6.3,-0.3,23.4,27.5,23.8,22.9,24.4
2019-01-12--08:05:48,20.3,19.9,17.7,11.8,8.0,19.6,19.0,17.3,11.8,5.6,19.0,18.5,17.2,6.3,-0.3,23.4,27.5,23.8,22.9,24.4
2019-01-12--08:09:24,20.3,19.9,17.7,11.8,8.0,19.6,19.0,17.3,11.8,5.6,19.0,18.5,17.2,6.3,-0.3,23.4,27.5,23.8,22.9,24.4
2019-01-12--08:13:00,20.3,19.9,17.7,11.8,8.0,19.6,19.0,17.3,11.8,5.6,19.0,18.5,17.2,6.3,-0.3,23.4,27.5,23.8,22.9,24.4
2019-01-12--08:16:36,20.3,19.9,17.7,11.9,8.0,19.6,19.0,17.3,11.8,5.7,19.1,18.5,17.2,6.3,-0.2,23.4,27.5,23.8,22.9,24.4
2019-01-12--08:20:12,20.3,19.9,17.7,11.9,8.0,19.6,19.0,17.3,11.8,5.7,19.1,18.5,17.2,6.3,-0.2,23.4,27.5,23.8,22.9,24.4
2019-01-12--08:23:48,20.3,19.9,17.7,11.9,8.0,19.6,19.0,17.3,11.8,5.7,19.1,18.5,17.2,6.3,-0.2,23.4,27.5,23.8,22.9,24.4
2019-01-12--08:27:24,20.3,19.9,17.7,11.9,8.0,19.6,19.0,17.3,11.8,5.7,19.1,18.5,17.2,6.3,-0.2,23.4,27.5,23.8,22.9,24.4
2019-01-12--08:31:00,20.3,19.9,17.7,11.9,8.1,19.6,19.1,17.3,11.8,5.7,19.1,18.5,17.3,6.4,-0.1,23.5,27.6,23.9,23.0,24.4
2019-01-12--08:34:36,20.3,19.9,17.7,11.9,8.1,19.6,19.1,17.3,11.8,5.7,19.1,18.5,17.3,6.4,-0.1,23.5,27.6,23.9,23.0,24.4
2019-01-12--08:38:12,20.3,19.9,17.7,11.9,8.1,19.6,19.1,17.3,11.8,5.7,19.1,18.5,17.3,6.4,-0.1,23.5,27.6,23.9,23.0,24.4
2019-01-12--08:41:48,20.3,19.9,17.7,11.9,8.1,19.6,19.1,17.3,11.8,5.7,19.1,18.5,17.3,6.4,-0.1,23.5,27.6,23.9,23.0,24.4
2019-01-12--08:45:24,20.4,20.0,17.7,11.9,8.1,19.7,19.1,17.4,11.9,5.8,19.1,18.5,17.3,6.4,0.0,23.5,27.6,23.9,23.0,24.4
2019-01-12--08:49:00,20.4,20.0,17.7,11.9,8.1,19.7,19.1,17.4,11.9,5.8,19.1,18.5,17.3,6.4,0.0,23.5,27.7,23.9,23.0,24.4
2019-01-12--08:52:36,20.4,20.0,17.7,11.9,8.1,19.7,19.1,17.4,11.9,5.8,19.1,18.5,17.3,6.4,0.0,23.5,27.7,23.9,23.0,24.4
2019-01-12--08:56:12,20.4,20.0,17.7,11.9,8.1,19.7,19.1,17.4,11.9,5.8,19.1,18.5,17.3,6.4,0.0,23.5,27.7,23.9,23.0,24.4
2019-01-12--08:59:48,20.4,20.0,17.7,11.9,8.1,19.7,19.1,17.4,11.9,5.8,19.1,18.5,17.3,6.4,0.0,23.5,27.7,23.9,23.0,24.4
